,Item1,Item2,support,conf,lift
38,tata salt 1kg,pepper black 50gm,0.03288360051777357,0.6856994549701532,19.2024527745284
39,tata salt 1kg,pepper black 100gm,0.030892163696106742,0.64417337139891,18.69778372531576
40,tata salt 1kg,vendiyam 100gm,0.039866075873742905,0.8313002854918246,17.68802704914067
42,tata salt 1kg,sugar 1kg,0.09473016031066414,1.9753438878795744,17.271414661856188
43,tata salt 1kg,gold winner refined sunflower oil 1l,0.03370506820671114,0.7028289644432909,17.49863350456516
44,surf excel detergent bar 150g,britannia milk bikis biscuits rs.10,0.03069302001394006,0.9816878980891719,31.43592366842424
45,surf excel detergent bar 150g,tata salt 1kg,0.04628845962361844,1.4804936305732481,30.871731184733207
47,surf excel detergent bar 150g,pacha pairu yellow 500gm,0.03289604699790899,1.0521496815286624,30.375103849349205
48,surf excel detergent bar 150g,kadala parupu 500gm,0.039903415314149156,1.2762738853503184,31.03539619993522
49,surf excel detergent bar 150g,pottukadalai 250gm,0.04330130439111819,1.384952229299363,29.259164320491195
50,surf excel detergent bar 150g,pottukadalai 500gm,0.03226127651100269,1.0318471337579618,29.41899436289911
51,surf excel detergent bar 150g,toor dhal 500gm,0.039928308274419996,1.2770700636942676,27.69363487110721
52,surf excel detergent bar 150g,toor dhal 1kg,0.05583490988748382,1.7858280254777068,26.664294160747236
54,surf excel detergent bar 150g,ulundu full white 1kg,0.0478069302001394,1.52906050955414,26.29512790659628
55,surf excel detergent bar 150g,ulundu white broken 100gm,0.03282136811709648,1.049761146496815,28.312188504243075
56,surf excel detergent bar 150g,jeeragam 50gm,0.033505924524544456,1.0716560509554138,27.9912658510929
57,surf excel detergent bar 150g,jeeragam 100gm,0.0393682166683262,1.2591560509554138,28.537555361907415
60,surf excel detergent bar 150g,pepper black 50gm,0.03288360051777357,1.0517515923566878,29.453443686408406
61,surf excel detergent bar 150g,pepper black 100gm,0.030892163696106742,0.9880573248407643,28.679363333456056
62,surf excel detergent bar 150g,vendiyam 100gm,0.039866075873742905,1.2750796178343948,27.1305605972687
64,surf excel detergent bar 150g,sugar 1kg,0.09473016031066414,3.029856687898089,26.491544861517472
65,surf excel detergent bar 150g,gold winner refined sunflower oil 1l,0.03370506820671114,1.0780254777070062,26.84006166126176
66,pacha pairu yellow 500gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.8860941430111391,28.37478988684215
67,pacha pairu yellow 500gm,tata salt 1kg,0.04628845962361844,1.3363277039166366,27.865536735914418
70,pacha pairu yellow 500gm,kadala parupu 500gm,0.039903415314149156,1.15199425080848,28.01326455416359
71,pacha pairu yellow 500gm,pottukadalai 250gm,0.04330130439111819,1.250089831117499,26.409996684539664
72,pacha pairu yellow 500gm,pottukadalai 500gm,0.03226127651100269,0.9313690262306863,26.554262967877314
73,pacha pairu yellow 500gm,toor dhal 500gm,0.039928308274419996,1.152712899748473,24.996913688904534
74,pacha pairu yellow 500gm,toor dhal 1kg,0.05583490988748382,1.6119295724038807,24.06780701825263
76,pacha pairu yellow 500gm,ulundu full white 1kg,0.0478069302001394,1.3801652892561984,23.73458904109589
77,pacha pairu yellow 500gm,ulundu white broken 100gm,0.03282136811709648,0.9475386273805245,25.55523446735846
78,pacha pairu yellow 500gm,jeeragam 50gm,0.033505924524544456,0.9673014732303269,25.265562277378866
79,pacha pairu yellow 500gm,jeeragam 100gm,0.0393682166683262,1.1365432985986346,25.75865579199117
82,pacha pairu yellow 500gm,pepper black 50gm,0.03288360051777357,0.9493352497305066,26.58535772197554
83,pacha pairu yellow 500gm,pepper black 100gm,0.030892163696106742,0.8918433345310816,25.88665493842674
84,pacha pairu yellow 500gm,vendiyam 100gm,0.039866075873742905,1.150916277398491,24.488669859985265
86,pacha pairu yellow 500gm,sugar 1kg,0.09473016031066414,2.7348185411426518,23.911879515678006
87,pacha pairu yellow 500gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.9730506647502694,24.226458818932645
88,kadala parupu 500gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.7463680387409201,23.900435912554993
89,kadala parupu 500gm,tata salt 1kg,0.04628845962361844,1.1256053268765132,23.471485694930337
91,kadala parupu 500gm,pacha pairu yellow 500gm,0.03289604699790899,0.7999394673123486,23.093904621539107
93,kadala parupu 500gm,pottukadalai 250gm,0.04330130439111819,1.0529661016949152,22.245466335676113
94,kadala parupu 500gm,pottukadalai 500gm,0.03226127651100269,0.784503631961259,22.366983607627894
95,kadala parupu 500gm,toor dhal 500gm,0.039928308274419996,0.9709443099273608,21.05520907875948
96,kadala parupu 500gm,toor dhal 1kg,0.05583490988748382,1.3577481840193704,20.272611056839303
98,kadala parupu 500gm,ulundu full white 1kg,0.0478069302001394,1.1625302663438257,19.99193743988192
99,kadala parupu 500gm,ulundu white broken 100gm,0.03282136811709648,0.7981234866828086,21.52548956496931
